"Guid","CurrencyIsoCode","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Product__c","SBQQ__Required__c","SBQQ__Type__c","SBQQ__ValueAttribute__c","SBQQ__ValueField__c","SBQQ__ValueObject__c"
0292adcc-bc35-447a-8a79-266c040404d5,USD,"#N/A","#N/A","#N/A",109dd2af-0246-43ce-926c-1d37094cde9b,false,Hide & Remove,"#N/A","#N/A","#N/A"
0481b6ef-25ea-49e4-8e59-79eac033123b,USD,"#N/A","#N/A","#N/A",e17162c1-47aa-4914-9c79-41307c52b3a6,false,Remove,"#N/A","#N/A","#N/A"
058bb57a-8160-4bb5-95a7-bec748ec2a15,USD,"#N/A","#N/A","#N/A",11fc2741-a475-4c7e-a5ad-e642d0acfd1a,false,Remove,"#N/A","#N/A","#N/A"
078fb774-b864-4046-b707-f0f1ff26cb6f,USD,"#N/A","#N/A","#N/A",ae6f8353-10c7-4ade-b234-8b555e8c114e,false,Show & Add,"#N/A","#N/A","#N/A"
08672369-24f5-43db-80c8-e86d361f6574,USD,"#N/A","#N/A","#N/A",b2f341c6-f308-42ce-add0-9190cf45d086,false,Remove,"#N/A","#N/A","#N/A"
0ffa07b2-551a-4303-8211-8e4243b6c369,USD,"#N/A","#N/A","#N/A",ed1c2de8-a656-4999-a615-288702367f96,false,Show & Add,"#N/A","#N/A","#N/A"
1121d61b-2220-4c70-a041-4173031a1c64,USD,"#N/A","#N/A","#N/A",8c7ec11c-572a-4f3f-b378-1bad2f089fb4,false,Remove,"#N/A","#N/A","#N/A"
1915d42f-bbe7-4fa0-84a6-e6db59314760,USD,"#N/A","#N/A","#N/A",11fc2741-a475-4c7e-a5ad-e642d0acfd1a,false,Show & Add,"#N/A","#N/A","#N/A"
1b4b455f-740a-4fbd-83ab-996900053b68,USD,"#N/A","#N/A","#N/A",629312f4-eb08-4d13-96bc-68db51aa3e3a,false,Hide & Remove,"#N/A","#N/A","#N/A"
1c9331d2-d9fa-4636-a02b-116f5765fc57,USD,"#N/A","#N/A","#N/A",cae82e7b-bc55-4b44-a2cd-58fe9a62c646,false,Hide & Remove,"#N/A","#N/A","#N/A"
1e4e3449-25c5-4570-8939-59ea2768d1fa,USD,"#N/A","#N/A","#N/A",1edfdb01-0fec-4f54-9004-a1548d155037,false,Hide & Remove,"#N/A","#N/A","#N/A"
205ff2ec-4e93-480f-aa62-66f74d2af512,USD,"#N/A","#N/A","#N/A",a474b155-91e3-464e-ac9e-e333a180fc46,false,Hide & Remove,"#N/A","#N/A","#N/A"
22f29a43-f4c3-4e1e-bd00-79deeeae03ff,USD,"#N/A","#N/A","#N/A",1f4da963-19a1-495c-ac43-2a7c723cd87b,false,Hide & Remove,"#N/A","#N/A","#N/A"
26484061-bc03-4fe5-88e5-a643caebe600,USD,"#N/A","#N/A","#N/A",b2f341c6-f308-42ce-add0-9190cf45d086,false,Add,"#N/A","#N/A","#N/A"
2aa409bf-1d61-4438-aa0a-636faa94008e,USD,"#N/A","#N/A","#N/A",530eb599-17e2-4f00-9d99-bc6a778e695c,false,Remove,"#N/A","#N/A","#N/A"
30157f99-a719-4ec7-b201-1fd0d2feb1e9,USD,"#N/A","#N/A","#N/A",62932448-67d1-4044-8961-5fce2eae0fbb,false,Hide & Remove,"#N/A","#N/A","#N/A"
308d8b04-0468-4110-9655-f878a0c3248d,USD,"#N/A","#N/A","#N/A",e17162c1-47aa-4914-9c79-41307c52b3a6,false,Remove,"#N/A","#N/A","#N/A"
31b07b44-41ed-4e50-b939-c8d00ff751d1,USD,"#N/A","#N/A","#N/A",b2f341c6-f308-42ce-add0-9190cf45d086,false,Remove,"#N/A","#N/A","#N/A"
36540e4a-9b22-4698-ac82-4554fae97b6b,USD,"#N/A","#N/A","#N/A",530eb599-17e2-4f00-9d99-bc6a778e695c,false,Remove,"#N/A","#N/A","#N/A"
398a5221-af8b-4f7c-abfa-c03b8935a7f2,USD,"#N/A","#N/A","#N/A",b2f341c6-f308-42ce-add0-9190cf45d086,false,Remove,"#N/A","#N/A","#N/A"
3baa1e3a-37f3-4388-83d3-85d9d1dad5c3,USD,"#N/A","#N/A","#N/A",dcc93b7e-542a-442f-8eb0-74874865a761,false,Add,"#N/A","#N/A","#N/A"
3f35d9ce-6919-422d-a549-dc45cd5e1043,USD,"#N/A","#N/A","#N/A",8b3568c4-ba49-4915-a908-fb08809acc13,false,Remove,"#N/A","#N/A","#N/A"
3f52836e-d304-4a44-a425-ff1a3bc318d7,USD,"#N/A","#N/A","#N/A",dcc93b7e-542a-442f-8eb0-74874865a761,false,Remove,"#N/A","#N/A","#N/A"
3f7742bf-9d46-4ebc-bf5e-1478234a1c7d,USD,"#N/A","#N/A","#N/A",02a89180-780a-48ee-90c2-76fd8f37f6b3,false,Hide & Remove,"#N/A","#N/A","#N/A"
4328956e-0996-4aab-92f3-ffda3cfbf5a1,USD,"#N/A","#N/A","#N/A",e17162c1-47aa-4914-9c79-41307c52b3a6,false,Show & Add,"#N/A","#N/A","#N/A"
45af7086-e6bd-4eb3-ab81-c019b9a86b3b,USD,"#N/A","#N/A","#N/A",53951f9a-99af-4345-9453-1845d0b98c75,false,Hide & Remove,"#N/A","#N/A","#N/A"
464f3eb1-70ca-41f7-a329-460a86f0d847,USD,"#N/A","#N/A","#N/A",b2f341c6-f308-42ce-add0-9190cf45d086,false,Remove,"#N/A","#N/A","#N/A"
49075185-c18a-477e-bb40-0f5656050b0f,USD,"#N/A","#N/A","#N/A",18046ac8-91b1-4680-a1e1-f468ab94e46b,false,Remove,"#N/A","#N/A","#N/A"
4a8bfa7f-00a3-4c1f-9243-8422c80cc552,USD,"#N/A","#N/A","#N/A",75489686-1f1b-45a4-a290-533cc16a0e12,false,Show,"#N/A","#N/A","#N/A"
4b665919-7226-4d3e-98bc-86c4cb9783b4,USD,"#N/A","#N/A","#N/A",8c7ec11c-572a-4f3f-b378-1bad2f089fb4,false,Remove,"#N/A","#N/A","#N/A"
4f062f97-8807-41ad-a50c-95bcee85a8d8,USD,"#N/A","#N/A","#N/A",e17162c1-47aa-4914-9c79-41307c52b3a6,false,Remove,"#N/A","#N/A","#N/A"
4f23761d-d8ec-49a4-9589-25a1f5356221,USD,"#N/A","#N/A","#N/A",b5b0072e-ef57-4c69-9691-71ad80c9b519,false,Remove,"#N/A","#N/A","#N/A"
562c6d5b-7588-46b9-b8c1-91ddcb539fed,USD,"#N/A","#N/A","#N/A",b2f341c6-f308-42ce-add0-9190cf45d086,false,Show & Add,"#N/A","#N/A","#N/A"
58de4c6c-84a5-44e4-b0e8-42be82d8f275,USD,"#N/A","#N/A","#N/A",dcc93b7e-542a-442f-8eb0-74874865a761,false,Show & Add,"#N/A","#N/A","#N/A"
6085198b-72d0-4078-9ba3-aff24afdf3b4,USD,"#N/A","#N/A","#N/A",e17162c1-47aa-4914-9c79-41307c52b3a6,false,Show & Add,"#N/A","#N/A","#N/A"
61467da5-6efa-4c48-b793-a30e5cbb4763,USD,Product_Solution__c,SIEM,equals,"#N/A",false,Default Filter,"#N/A","#N/A","#N/A"
66bcab61-4e19-4fef-8e81-ae8e22ca58bd,USD,"#N/A","#N/A","#N/A",6ce56460-94eb-45fa-94b5-3aa33275b8c4,false,Hide & Remove,"#N/A","#N/A","#N/A"
6ac113e0-07bc-483c-9a96-9c37932ce844,USD,"#N/A","#N/A","#N/A",7aff88bf-3e69-413a-96f2-5b747ed9db76,false,Show & Add,"#N/A","#N/A","#N/A"
